2016/07/08 - ramlat5 -- [ ramlat -s 100 16384 ]


wtap - x86_64 (core i5-3320M @3.3 GHz)
   size:     4B     8B    16B    32B    64B
 65536k:     53     50     37     18     10 
131072k:     53     50     37     18     10 
262144k:     52     50     37     18     10 

cs008-1 - armv7t (RK3288 @1.608 GHz - DDR2@396 - CA17)
   size:     4B     8B    16B    32B    64B
     4k:   1606   1582    803    401    200 
     8k:   1606   1582    803    401    200 
    16k:   1606   1581    803    401    200 
    32k:   1605   1579    802    401    200 
    64k:    161    161    160    149    100 
   128k:    135    135    135    130     98 
   256k:    133    133    133    129     97 
   512k:    133    133    133    129     97 
  1024k:    129    130    132    124     91 
  2048k:     72     71     47     24     12 
  4096k:     62     62     40     20     10 
  8192k:     57     57     39     19     10 
 16384k:     53     53     38     19     10 
 32768k:     53     53     38     19     10 
 65536k:     53     53     38     19     10 
131072k:     53     53     38     19     10 
262144k:     52     52     38     18     10 

cs008-1 - armv7t (RK3288 @1.608 GHz - DDR2@480 - CA17)
   size:     4B     8B    16B    32B    64B
     4k:   1606   1582    803    401    200 
     8k:   1606   1582    803    401    200 
    16k:   1606   1581    802    401    200 
    32k:   1605   1580    802    401    200 
    64k:    161    161    160    149    100 
   128k:    135    135    135    130     98 
   256k:    133    133    133    129     97 
   512k:    133    133    133    129     97 
  1024k:    130    131    132    125     92 
  2048k:     80     80     52     26     13 
  4096k:     70     70     45     21     11 
  8192k:     63     63     43     20     10 
 16384k:     59     59     42     20     10 
 32768k:     59     59     42     20     10 
 65536k:     59     59     42     20     10 
131072k:     59     59     42     20     10 
262144k:     58     58     41     19     10 

cs008-1 - armv7t (RK3288 @1.992 GHz - DDR2@396 - CA17)
   size:     4B     8B    16B    32B    64B
     4k:   1990   1959    995    497    248 
     8k:   1990   1960    995    497    248 
    16k:   1990   1959    995    497    248 
    32k:   1989   1958    994    497    248 
    64k:    199    199    199    185    124 
   128k:    167    167    167    161    121 
   256k:    165    165    165    159    120 
   512k:    165    165    165    159    121 
  1024k:    151    152    159    145    104 
  2048k:     74     74     49     26     12 
  4096k:     64     64     42     21     10 
  8192k:     59     58     40     20     10 
 16384k:     55     55     39     20     10 
 32768k:     55     55     39     20     10 
 65536k:     55     55     39     20     10 
131072k:     55     54     39     20     10 
262144k:     54     54     39     20     10 

cs008-1 - armv7t (RK3288 @1.992 GHz - DDR2@480 - CA17)
   size:     4B     8B    16B    32B    64B
     4k:   1990   1960    995    497    248 
     8k:   1990   1959    995    497    248 
    16k:   1990   1959    995    497    248 
    32k:   1989   1958    994    497    248 
    64k:    199    199    199    185    124 
   128k:    167    167    167    161    121 
   256k:    165    165    165    159    120 
   512k:    165    165    165    160    121 
  1024k:    157    158    161    150    110 
  2048k:     84     84     55     28     13 
  4096k:     73     73     47     22     11 
  8192k:     66     66     45     21     11 
 16384k:     62     62     44     21     11 
 32768k:     62     62     44     20     11 
 65536k:     62     61     44     20     11 
131072k:     62     61     44     20     11 
262144k:     61     61     44     20     11 

MiQi - armv7t (RK3288 @1.800 GHz - dual-channel DDR3@792 - CA17)
     4k:   1798   1770    899    449    224 
     8k:   1798   1771    899    449    224 
    16k:   1798   1771    899    449    224 
    32k:   1797   1769    898    449    224 
    64k:    180    180    180    167    112 
   128k:    151    151    151    145    109 
   256k:    149    149    149    144    108 
   512k:    149    149    149    144    109 
  1024k:    150    150    147    138    100 
  2048k:    119    119     75     34     16 
  4096k:    107    107     67     27     14 
  8192k:     97     97     64     26     14 
 16384k:     92     93     62     26     14 
 32768k:     91     91     62     25     14 
 65536k:     91     91     62     25     14 
131072k:     91     91     62     25     14 
262144k:     90     90     62     25     14 

MiQi - armv7t (RK3288 @2.016 GHz - dual-channel DDR3@792 - CA17)
   size:     4B     8B    16B    32B    64B
     4k:   2014   1983   1007    503    251 
     8k:   2014   1983   1007    503    251 
    16k:   2014   1983   1007    503    251 
    32k:   2012   1982   1006    503    251 
    64k:    202    202    201    187    126 
   128k:    169    169    169    163    122 
   256k:    167    167    167    161    121 
   512k:    167    167    167    161    122 
  1024k:    161    161    163    151    107 
  2048k:    124    124     79     36     17 
  4096k:    110    110     70     28     15 
  8192k:    100    100     67     27     14 
 16384k:     95     95     65     26     14 
 32768k:     94     94     65     26     14 
 65536k:     94     94     65     26     14 
131072k:     93     93     65     26     14 
262144k:     92     92     64     26     14 

ALIX - i586 (Geode LX 500 MHz - 64K L1 / 128K L2)
   size:     4B     8B    16B    32B    64B
     4k:    428    227    115     59     29 
     8k:    227    117     76     47     23 
    16k:    226    117     77     47     24 
    32k:    226    117     77     46     24 
    64k:    214    116     78     46     23 
   128k:     36     33     29     23     11 
   256k:     11     11     10      9      4 
   512k:     11     11     10      9      4 
  1024k:     11     11     10      9      4 
  2048k:     11     11     10      9      4 
  4096k:     11     11     10      9      4 
  8192k:     11     11     10      9      4 
 16384k:     11     11     10      9      4 

---------------------------------------------------------

Note:
  - the Odroid C2 is cheating, it's not 2.016 GHz but 1.536. Frequencies of
    1536, 1752 and 2016 all produce exactly the same performance. It explains
    why this device is so slow compared to others when taking the frequency
    into account.

  - the cortex A9 and A17 don't always show the whole perf on 32kB, it seems
    like the physical address has a strong impact on the cache performance.

Note for CS008:
  - the CPU frequency has a proportional impact on L1 and L2 speed
  - A 21% increase of memory frequency only improves transaction rate by ~11%
  - the numbers remain the same per thread for 4 processes up to 32kB
  - at 256kB they're approx cut in half (113 instead of 165)
  - at 512kB they're cut by 6 (29 instead of 165)
  - at 1024 they're cut /8 (20 for 158)
  - at 2048k and above, the CPU frequency has no effect (L2 cache = 1M)
  - above 256kB, the results are much worse in multi-process than what
    they should be for only the same area split in 4. Maybe the memory
    controller is not a very good arbiter.

---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------

---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------
---------------------------------------------------------

